"Account Code","Account Name (EN)","Account Name (AR)","Account Type","Parent Account","Parent Name",Level,"Posting / Non-Posting","Active / Inactive","Normal Balance","FS Line","Reporting Group","Cash / Bank","Control Account (subledger)","Counterparty Required","Advance Holder Required"
113001,"Prepaid Insurance","تأمين مدفوع مقدماً",Asset,113000,Prepayments,2,Posting,Active,Dr,SFP-A-030,Prepayments,,,,
113002,"Prepaid Rent","إيجار مدفوع مقدماً",Asset,113000,Prepayments,2,Posting,Active,Dr,SFP-A-030,Prepayments,,,,
113003,"Prepaid Licenses","رخص مدفوعة مقدماً",Asset,113000,Prepayments,2,Posting,Active,Dr,SFP-A-030,Prepayments,,,,
113004,"Prepaid Services","خدمات مدفوعة مقدماً",Asset,113000,Prepayments,2,Posting,Active,Dr,SFP-A-030,Prepayments,,,,
113009,"Other Prepayments","مصروفات أخرى مدفوعة مقدماً",Asset,113000,Prepayments,2,Posting,Active,Dr,SFP-A-030,Prepayments,,,,
115001,"Land Acquisition Cost – Government-Owned Project Site","كلفة اقتناء أرض موقع المشروع المملوك للدولة",Asset,115000,"Concession Assets under Construction",2,Posting,Active,Dr,SFP-A-040,"Concession Assets under Construction",,,,
115002,"Land Registration & Related Costs","تكاليف تسجيل الأرض وما يتصل بها",Asset,115000,"Concession Assets under Construction",2,Posting,Active,Dr,SFP-A-040,"Concession Assets under Construction",,,,
115010,"Site Preparation","تهيئة الموقع",Asset,115000,"Concession Assets under Construction",2,Posting,Active,Dr,SFP-A-040,"Concession Assets under Construction",,,,
115020,"External Road Works","أعمال الطرق الخارجية",Asset,115000,"Concession Assets under Construction",2,Posting,Active,Dr,SFP-A-040,"Concession Assets under Construction",,,,
115021,"Internal Roads","الطرق الداخلية",Asset,115000,"Concession Assets under Construction",2,Posting,Active,Dr,SFP-A-040,"Concession Assets under Construction",,,,
115022,"Sub base Yard & Parking Infrastructure","الحصى الخابط بنية الساحات والمواقف",Asset,115000,"Concession Assets under Construction",2,Posting,Active,Dr,SFP-A-040,"Concession Assets under Construction",,,,
115030,"Civil Works (Parent)","الأعمال المدنية",Asset,115000,"Concession Assets under Construction",2,Non-Posting,Active,Dr,SFP-A-040,"Concession Assets under Construction",,,,
115031,"Buildings & Facilities","المباني والمرافق",Asset,115000,"Concession Assets under Construction",2,Posting,Active,Dr,SFP-A-040,"Concession Assets under Construction",,,,
115032,"Earthworks, Excavation & Site Grading","الأعمال الترابية والحفريات وتسوية الموقع",Asset,115030,"Civil Works (Parent)",3,Posting,Active,Dr,SFP-A-040,"Civil Works (Parent)",,,,
115033,"Security Fence & Boundary Walls","السياج الأمني والأسوار المحيطية",Asset,115030,"Civil Works (Parent)",3,Posting,Active,Dr,SFP-A-040,"Civil Works (Parent)",,,,
115034,"Concrete Works & Foundations","الأعمال الكونكريتية والأسس",Asset,115030,"Civil Works (Parent)",3,Posting,Active,Dr,SFP-A-040,"Civil Works (Parent)",,,,
115035,"Loading Platforms, Ramps & Civil Structures","منصات التفريغ والرامبات والمنشآت المدنية",Asset,115030,"Civil Works (Parent)",3,Posting,Active,Dr,SFP-A-040,"Civil Works (Parent)",,,,
115036,"Stormwater Drainage & Culverts","تصريف مياه الأمطار والعبارات",Asset,115030,"Civil Works (Parent)",3,Posting,Active,Dr,SFP-A-040,"Civil Works (Parent)",,,,
115037,"Kerbs, Sidewalks & Civil Paving","القالب الجانبي والأرصفة والتبليط المدني",Asset,115030,"Civil Works (Parent)",3,Posting,Active,Dr,SFP-A-040,"Civil Works (Parent)",,,,
115039,"Other Civil Works","أعمال مدنية أخرى",Asset,115030,"Civil Works (Parent)",3,Posting,Active,Dr,SFP-A-040,"Civil Works (Parent)",,,,
115040,"Electrical Works","الأعمال الكهربائية",Asset,115000,"Concession Assets under Construction",2,Posting,Active,Dr,SFP-A-040,"Concession Assets under Construction",,,,
115041,"Mechanical Works","الأعمال الميكانيكية",Asset,115000,"Concession Assets under Construction",2,Posting,Active,Dr,SFP-A-040,"Concession Assets under Construction",,,,
