"GL Account","Name (EN)","Name (AR)",Type,Project,"Position in the authoritative ledger"
111001,"Administrative Cash Box","صندوق نقدي إداري",Cash,CORP,"No movement in the authoritative ledger"
111002,"Yousfia exchange yard Project Safe","خزنة مشروع ساحة التبادل ( اليوسفية )",Safe,PRJ-01,"The ONLY cash account with movement: Dr 36,391,971,980 / Cr 36,391,971,980, closing nil"
111003,"Rashdia exchange yard Project Safe","خزنة مشروع ساحة التبادل ( الراشدية )",Safe,PRJ-02,"No movement"
111010,"Bank Account – Main","حساب مصرفي - رئيسي",Bank,CORP,"No movement"
111011,"Bank Account – Secondary","حساب مصرفي - ثانوي",Bank,CORP,"No movement"
111020,"Cash in Transit","نقد قيد التحويل",Transit,CORP,"No movement"
111030,"Petty Cash","مصروف نثري (سلفة مستديمة)",Cash,CORP,"No movement"
111040,"Undeposited Collections","متحصلات غير مودعة",Cash,CORP,"No movement"
